0	2026-04-24 16:52:56	#ARC-FILE#	1.1a	2026-04-23	2026-04-24	CEDEX BIO HT	630157	7.0.0.2410 (2410)	admin																
40	2026-04-24 16:10:28	J033Z1-0424-1PC		SAM	        	LDH2B	        	U/L	HIGH ACT	  2271	  0.17010	R													
40	2026-04-24 16:10:30	J033Z2-0424-1PC		SAM	        	LDH2B	        	U/L	HIGH ACT	  2018	  0.15123	R													
40	2026-04-24 16:10:55	J033Z3-0424-1PC		SAM	        	LDH2B	        	U/L	HIGH ACT	  1853	  0.13892	R													
40	2026-04-24 16:11:03	J033Z4-0424-1PC		SAM	        	LDH2B	        	U/L	HIGH ACT	  2013	  0.15090	R													
40	2026-04-24 16:11:14	J033Z5-0424-1PC		SAM	        	LDH2B	        	U/L	HIGH ACT	  1890	  0.14170	R													
40	2026-04-24 16:11:24	J033Z6-0424-1PC		SAM	        	LDH2B	        	U/L	HIGH ACT	  1941	  0.14548	R													
40	2026-04-24 16:11:35	J033U2-0424-1PC		SAM	        	LDH2B	        	U/L	> TEST RNG	> 1000	  0.09727	R													
40	2026-04-24 16:11:46	J033U4-0424-1PC		SAM	        	LDH2B	        	U/L	> TEST RNG	> 1000	  0.08487	R													
40	2026-04-24 16:11:56	J033V2-0424-1PC		SAM	        	LDH2B	        	U/L	> TEST RNG	> 1000	  0.11070	R													
40	2026-04-24 16:12:07	J033V3-0424-1PC		SAM	        	LDH2B	        	U/L	HIGH ACT	  2177	  0.16311	R													
40	2026-04-24 16:27:45	J033U2-0424-1PC		SAM	        	LDH2B	        	U/L	> TEST RNG	> 1000	  0.09737	R													
40	2026-04-24 16:27:48	J033U2-0424-1PC		SAM	        	LDH2D	        	U/L	 	  1437	  0.01129	R													
40	2026-04-24 16:29:03	J033U4-0424-1PC		SAM	        	LDH2D	        	U/L	 	  1234	  0.00976	R													
40	2026-04-24 16:29:24	J033V2-0424-1PC		SAM	        	LDH2D	        	U/L	 	  1670	  0.01303	R													
40	2026-04-24 16:29:45	J033V3-0424-1PC		SAM	        	LDH2D	        	U/L	 	  2643	  0.02031	R													
40	2026-04-24 16:30:07	J033Z1-0424-1PC		SAM	        	LDH2D	        	U/L	 	  2727	  0.02094	R													
40	2026-04-24 16:30:28	J033Z2-0424-1PC		SAM	        	LDH2D	        	U/L	 	  2367	  0.01825	R													
40	2026-04-24 16:30:50	J033Z3-0424-1PC		SAM	        	LDH2D	        	U/L	 	  2168	  0.01676	R													
40	2026-04-24 16:34:00	J033Z4-0424-1PC		SAM	        	LDH2D	        	U/L	 	  2347	  0.01809	R													
40	2026-04-24 16:34:23	J033Z5-0424-1PC		SAM	        	LDH2D	        	U/L	 	  2194	  0.01695	R													
40	2026-04-24 16:34:44	J033Z6-0424-1PC		SAM	        	LDH2D	        	U/L	 	  2271	  0.01753	R													
