"Date & Time","Sample ID","Sample Type","Gln","Glu","Gluc","Lac","NH4+","Na+","K+","Ca++","pH","PO2","PCO2","Osm","Total Density","Viable Density","Viability","Avg. Live Diameter","Total Live Count","Total Cell Count","Live Cell Std. Deviation","Cell Inspection Type","Pre-Dilution Multiplier","Cell Density Dilution","Valid Images","Exposure Time (msec)","Vessel ID","Batch ID","Cell Type","Vessel Temperature (°C)","Vessel Pressure (psi)","Sparging O2%","Chemistry Dilution Ratio","pH @ Temp","PCO2 @ Temp","PO2 @ Temp","O2 Saturation","CO2 Saturation","HCO3","Chemistry Flow Time","pH / Gas Flow Time","Cell Density Flow","Tray Location","Time In Tray","Sample Time","Operator",
"","","","mmol / L","mmol / L","g / L","g / L","mmol / L","mmol / L","mmol / L","mmol / L","-","mmHg","mmHg","mOsm / kg","x10^6 Cells / mL","x10^6 Cells / mL","","","","","","","","","","","","","","","","","","-","mmHg","mmHg","","","","","","","","","","",
"4/16/2026  15:16:10","glucosesolution-10x","all","0.00","0.15","","0.00","0.13","132.4","3.72","0.06","","","","","","","","","","","","","10","","","","","","","37.0","0.0","20.9","1:1","","","","","","","8.28","","","","","4/16/2026  15:16:10","Flex2admin",
"4/16/2026  15:20:05","glucosesolution-20x","all","0.00","0.11","","0.01","0.13","142.0","3.97","0.05","7.045","199.7","","","","","","","","","","StandardCHO","10","1:1","","","","","","37.0","0.0","20.9","1:1","7.045","","199.7","100.0","","","8.32","4.96","","","","4/16/2026  15:20:05","Flex2admin",
"4/16/2026  15:24:34","glucosesolution-40x","all","0.00","0.11","11.06","0.01","0.13","148.2","4.12","0.06","","","","","","","","","","","","","10","","","","","","","37.0","0.0","20.9","1:1","","","","","","","8.14","","","","","4/16/2026  15:24:34","Flex2admin",
"4/16/2026  15:27:03","glucosesolution-40x try2","all","0.00","0.11","10.96","0.01","0.12","145.5","4.04","0.05","","","","","","","","","","","","","10","","","","","","","37.0","0.0","20.9","1:1","","","","","","","8.29","","","","","4/16/2026  15:27:03","Flex2admin",
"4/20/2026  8:08:10","H001BIG2-0420","all","1.69","2.58","2.71","1.41","2.22","115.5","11.11","0.10","6.860","91.2","","304","38.146","37.450","98.2","22.55","4895","4986","2.24","StandardCHO","10","1:1","50","6.44","","","","37.0","0.0","20.9","1:1","6.860","","91.2","61.4","","","7.90","4.67","5.25","","","4/20/2026  8:08:10","Flex2admin",
"4/20/2026  8:35:04","dasbox2-0420","all","","","","","","","","","7.249","134.3","","","","","","","","","","","10","","","","","","","37.0","0.0","20.9","","7.249","","134.3","90.4","","","","4.85","","","","4/20/2026  8:35:04","Flex2admin",
"4/20/2026  8:40:47","dasbox4-0420","all","","","","","","","","","7.069","127.7","","","","","","","","","","","10","","","","","","","37.0","0.0","20.9","","7.069","","127.7","85.9","","","","4.77","","","","4/20/2026  8:40:47","Flex2admin",
"4/20/2026  8:47:41","dasbox4-0420-2","all","","","","","","","","","7.088","132.3","","","","","","","","","","","10","","","","","","","37.0","0.0","20.9","","7.088","","132.3","89.0","","","","4.90","","","","4/20/2026  8:47:41","Flex2admin",
"4/20/2026  8:56:26","3liter3-0420","all","","","","","","","","","7.252","139.9","","","","","","","","","","","10","","","","","","","37.0","0.0","20.9","","7.252","","139.9","94.1","","","","4.95","","","","4/20/2026  8:56:26","Flex2admin",
