"Date & Time","Sample ID","Sample Type","Gln","Glu","Gluc","Lac","NH4+","Na+","K+","Ca++","pH","PO2","PCO2","Osm","Total Density","Viable Density","Viability","Avg. Live Diameter","Total Live Count","Total Cell Count","Live Cell Std. Deviation","Cell Inspection Type","Pre-Dilution Multiplier","Cell Density Dilution","Valid Images","Exposure Time (msec)","Vessel ID","Batch ID","Cell Type","Vessel Temperature (°C)","Vessel Pressure (psi)","Sparging O2%","Chemistry Dilution Ratio","pH @ Temp","PCO2 @ Temp","PO2 @ Temp","O2 Saturation","CO2 Saturation","HCO3","Chemistry Flow Time","pH / Gas Flow Time","Cell Density Flow","Tray Location","Time In Tray","Sample Time","Operator",
"","","","mmol / L","mmol / L","g / L","g / L","mmol / L","mmol / L","mmol / L","mmol / L","-","mmHg","mmHg","mOsm / kg","x10^6 Cells / mL","x10^6 Cells / mL","","","","","","","","","","","","","","","","","","-","mmHg","mmHg","","","","","","","","","","",
"7/20/2026  11:00:41","H01206-0720-1","ph","6.06","2.85","3.72","","3.74","124.0","12.26","0.10","","","","","","","","","","","","HEK293","1","1:2","","","","","","37.0","0.0","20.9","1:1","","","","","","","8.29","","","1","","7/20/2026  11:00:41","Flex2admin",
"7/20/2026  11:03:18","H01206-0720-2","ph","5.81","2.55","3.63","","3.81","123.5","12.11","0.10","","","","","","","","","","","","HEK293","1","1:2","","","","","","37.0","0.0","20.9","1:1","","","","","","","8.32","","","2","","7/20/2026  11:03:18","Flex2admin",
"7/20/2026  11:05:32","H01206-0720-3","ph","6.18","2.51","3.77","","3.80","125.4","12.41","0.10","","","","","","","","","","","","HEK293","1","1:2","","","","","","37.0","0.0","20.9","1:1","","","","","","","8.37","","","3","","7/20/2026  11:05:32","Flex2admin",
"7/21/2026  12:12:52","J034R2-Z1-2PC-721","ph","2.81","1.44","1.51","","1.68","133.6","7.72","0.08","","","","","3.267","3.164","96.8","23.66","827","854","2.76","StandardCHO","2","1:2","50","6.05","","","","37.0","0.0","20.9","1:1","","","","","","","8.40","","5.28","10","","7/21/2026  12:12:52","Flex2admin",
"7/21/2026  12:18:47","J034R2-Z2-2PC-721","ph","2.73","1.39","1.50","","1.70","132.2","7.69","0.08","","","","","3.669","3.463","94.4","23.75","905","959","2.89","StandardCHO","2","1:2","50","6.05","","","","37.0","0.0","20.9","1:1","","","","","","","8.36","","5.28","11","","7/21/2026  12:18:47","Flex2admin",
"7/21/2026  12:24:38","J034R2-Z3-2PC-721","ph","2.79","1.37","1.53","","1.70","133.6","7.77","0.08","","","","","3.700","3.531","95.4","23.59","923","967","3.21","StandardCHO","2","1:2","50","6.05","","","","37.0","0.0","20.9","1:1","","","","","","","8.20","","5.23","12","","7/21/2026  12:24:38","Flex2admin",
"7/21/2026  12:30:23","J034R2-Z4-2PC-721","ph","2.92","1.39","1.60","","1.69","135.4","7.89","0.08","","","","","3.516","3.283","93.4","23.91","858","919","3.37","StandardCHO","2","1:2","50","6.05","","","","37.0","0.0","20.9","1:1","","","","","","","8.19","","5.26","13","","7/21/2026  12:30:23","Flex2admin",
"7/21/2026  12:36:02","J034R2-Z5-2PC-721","ph","2.91","1.36","1.58","","1.66","133.8","7.81","0.08","","","","","3.333","3.107","93.2","23.83","812","871","3.12","StandardCHO","2","1:2","50","6.05","","","","37.0","0.0","20.9","1:1","","","","","","","8.20","","5.30","14","","7/21/2026  12:36:02","Flex2admin",
"7/21/2026  12:41:48","J034R2-Z6-2PC-721","ph","3.01","1.40","1.65","","1.71","135.5","8.00","0.08","","","","","2.958","2.835","95.9","23.60","741","773","2.69","StandardCHO","2","1:2","50","6.05","","","","37.0","0.0","20.9","1:1","","","","","","","8.09","","5.26","15","","7/21/2026  12:41:48","Flex2admin",
