"Date & Time","Sample ID","Sample Type","Gln","Glu","Gluc","Lac","NH4+","Na+","K+","Ca++","pH","PO2","PCO2","Osm","Total Density","Viable Density","Viability","Avg. Live Diameter","Total Live Count","Total Cell Count","Live Cell Std. Deviation","Cell Inspection Type","Pre-Dilution Multiplier","Cell Density Dilution","Valid Images","Exposure Time (msec)","Vessel ID","Batch ID","Cell Type","Vessel Temperature (°C)","Vessel Pressure (psi)","Sparging O2%","Chemistry Dilution Ratio","pH @ Temp","PCO2 @ Temp","PO2 @ Temp","O2 Saturation","CO2 Saturation","HCO3","Chemistry Flow Time","pH / Gas Flow Time","Cell Density Flow","Tray Location","Time In Tray","Sample Time","Operator",
"","","","mmol / L","mmol / L","g / L","g / L","mmol / L","mmol / L","mmol / L","mmol / L","-","mmHg","mmHg","mOsm / kg","x10^6 Cells / mL","x10^6 Cells / mL","","","","","","","","","","","","","","","","","","-","mmHg","mmHg","","","","","","","","","","",
"6/4/2026  16:33:55","00007M1","No Sample Types available","","","","","","","","","","","","","","","","","","","","","1","","","","Nova Test","Nova Test","","37.0","0.0","20.9","","","","","","","","","","","","","6/4/2026  16:33:55","MAST",
"6/5/2026  10:43:47","J038H05-4E6-FLEX2-1","all","","","","","","","","","","","","","1.594","1.574","98.8","19.76","823","833","3.82","hektest1","1","1:2","50","7.13","","","","37.0","0.0","20.9","","","","","","","","","","5.25","17","","5/27/2026  11:08:05","Flex2admin",
"6/5/2026  10:45:36","J038H05-4E6-FLEX2-1","all","","","","","","","","","","","","","3.491","2.843","81.4","19.68","1486","1825","2.91","StandardCHO","1","1:2","50","7.13","","","","37.0","0.0","20.9","","","","","","","","","","5.25","17","","5/27/2026  11:08:05","Flex2admin",
"6/5/2026  10:51:59","J038H06-4E6-FLEX2-1","all","","","","","","","","","","","","","4.480","4.389","98.0","22.07","2294","2342","2.96","StandardCHO","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.26","7","","5/27/2026  12:37:44","Flex2admin",
"6/5/2026  10:55:16","J038H05-4E6-FLEX2-CHO","all","","","","","","","","","","","","","3.491","2.843","81.4","19.68","1486","1825","2.91","StandardCHO","1","1:2","50","7.13","","","","37.0","0.0","20.9","","","","","","","","","","5.25","17","","5/27/2026  11:08:05","Flex2admin",
"6/5/2026  11:05:47","J038H05-4E6-FLEX2-CHO2","all","","","","","","","","","","","","","3.275","2.843","86.8","19.68","1486","1712","2.91","hek293-cho","1","1:2","50","7.13","","","","37.0","0.0","20.9","","","","","","","","","","5.25","17","","5/27/2026  11:08:05","Flex2admin",
"6/5/2026  11:07:45","J038H05-4E6-FLEX2-2-hekcho","all","","","","","","","","","","","","","3.663","3.210","87.6","20.00","1678","1915","2.94","hek293-cho","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.30","18","","5/27/2026  11:13:58","Flex2admin",
"6/5/2026  12:00:17","J038H06-4E6-FLEX2-1-hekcho","all","","","","","","","","","","","","","4.446","4.389","98.7","22.07","2294","2324","2.96","hek293-cho","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.26","7","","5/27/2026  12:37:44","Flex2admin",
"6/5/2026  12:03:05","J038H05-4E6-FLEX2-1-hekcho","all","","","","","","","","","","","","","3.275","2.843","86.8","19.68","1486","1712","2.91","hek293-cho","1","1:2","50","7.13","","","","37.0","0.0","20.9","","","","","","","","","","5.25","17","","5/27/2026  11:08:05","Flex2admin",
"6/5/2026  12:04:18","J038H05-4E6-FLEX2-3-hekcho","all","","","","","","","","","","","","","3.656","3.281","89.7","19.83","1715","1911","3.00","hek293-cho","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.23","19","","5/27/2026  11:19:56","Flex2admin",
"6/5/2026  12:05:22","J038H06-4E6-FLEX2-2-hekcho","all","","","","","","","","","","","","","4.667","4.541","97.3","22.03","2279","2342","2.84","hek293-cho","1","1:2","48","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.25","8","","5/27/2026  12:43:41","Flex2admin",
"6/5/2026  12:06:26","J038H06-4E6-FLEX2-3-hekcho","all","","","","","","","","","","","","","4.555","4.484","98.4","22.02","2250","2286","2.80","hek293-cho","1","1:2","48","7.13","","","","37.0","0.0","20.9","","","","","","","","","","5.23","9","","5/27/2026  12:49:57","Flex2admin",
"6/5/2026  12:08:03","J038H05-2E6-FLEX2-1-hekcho","all","","","","","","","","","","","","","2.831","2.428","85.7","20.27","1269","1480","3.09","hek293-cho","1","1:2","50","6.93","","","","37.0","0.0","20.9","","","","","","","","","","5.22","20","","5/27/2026  11:25:56","Flex2admin",
"6/5/2026  12:09:06","J038H05-2E6-FLEX2-2-hekcho","all","","","","","","","","","","","","","3.007","2.602","86.5","20.00","1360","1572","2.92","hek293-cho","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.25","21","","5/27/2026  11:31:53","Flex2admin",
"6/5/2026  12:11:03","J038H05-2E6-FLEX2-3-hekcho","all","","","","","","","","","","","","","2.810","2.391","85.1","20.15","1250","1469","2.78","hek293-cho","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.23","22","","5/27/2026  11:37:44","Flex2admin",
"6/5/2026  12:13:52","J038H05-1E6-FLEX2-1-hekcho","all","","","","","","","","","","","","","1.414","1.180","83.5","20.27","617","739","3.01","hek293-cho","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.33","23","","5/27/2026  11:43:42","Flex2admin",
"6/5/2026  12:15:51","J038H05-1E6-FLEX2-2-hekcho","all","","","","","","","","","","","","","1.442","1.213","84.1","19.90","634","754","2.97","hek293-cho","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.30","24","","5/27/2026  11:49:43","Flex2admin",
"6/5/2026  12:16:58","J038H05-1E6-FLEX2-3-hekcho","all","","","","","","","","","","","","","1.494","1.234","82.6","20.15","645","781","2.86","hek293-cho","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.25","1","","5/27/2026  11:55:43","Flex2admin",
"6/5/2026  12:19:02","J038H05-5E5-FLEX2-1-hekcho","all","","","","","","","","","","","","","0.761","0.597","78.4","19.99","312","398","2.69","hek293-cho","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.23","2","","5/27/2026  12:03:36","Flex2admin",
"6/5/2026  12:21:24","J038H05-5E5-FLEX2-2-hekcho","all","","","","","","","","","","","","","0.744","0.589","79.2","20.05","308","389","3.04","hek293-cho","1","1:2","50","7.13","","","","37.0","0.0","20.9","","","","","","","","","","5.28","3","","5/27/2026  12:09:50","Flex2admin",
"6/5/2026  12:23:30","J038H05-5E5-FLEX2-3-hekcho","all","","","","","","","","","","","","","0.712","0.597","83.9","19.86","312","372","2.84","hek293-cho","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.23","4","","5/27/2026  12:15:43","Flex2admin",
"6/5/2026  12:25:09","J038H06-2E6-FLEX2-1-hekcho","all","","","","","","","","","","","","","2.134","2.112","99.0","22.19","1082","1093","3.08","hek293-cho","1","1:2","49","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.22","10","","5/27/2026  12:57:19","Flex2admin",
"6/5/2026  12:27:14","J038H06-2E6-FLEX2-2-hekcho","all","","","","","","","","","","","","","2.152","2.118","98.4","22.25","1107","1125","3.13","hek293-cho","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.26","11","","5/27/2026  13:03:26","Flex2admin",
"6/5/2026  12:28:30","J038H06-2E6-FLEX2-3-hekcho","all","","","","","","","","","","","","","2.099","2.074","98.8","22.36","1084","1097","2.62","hek293-cho","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.30","12","","5/27/2026  13:09:39","Flex2admin",
"6/5/2026  12:29:59","J038H06-1E6-FLEX2-1-hekcho","all","","","","","","","","","","","","","0.966","0.941","97.4","22.12","492","505","2.75","hek293-cho","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.28","13","","5/27/2026  13:15:57","Flex2admin",
"6/5/2026  12:32:28","J038H06-1E6-FLEX2-2-hekcho","all","","","","","","","","","","","","","1.167","1.140","97.7","22.09","596","610","3.24","hek293-cho","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.26","14","","5/27/2026  13:22:10","Flex2admin",
"6/5/2026  12:34:41","J038H06-1E6-FLEX2-3-hekcho","all","","","","","","","","","","","","","0.932","0.920","98.8","21.87","481","487","3.01","hek293-cho","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.23","15","","5/27/2026  13:28:22","Flex2admin",
"6/5/2026  12:36:25","J038H06-5E5-FLEX2-1-hekcho","all","","","","","","","","","","","","","0.610","0.601","98.4","21.80","314","319","2.57","hek293-cho","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.36","16","","5/27/2026  13:34:40","Flex2admin",
"6/5/2026  12:37:57","J038H06-5E5-FLEX2-2-hekcho","all","","","","","","","","","","","","","0.681","0.668","98.0","21.82","349","356","2.54","hek293-cho","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.28","17","","5/27/2026  13:41:02","Flex2admin",
"6/5/2026  12:39:07","J038H06-5E5-FLEX2-3-hekcho","all","","","","","","","","","","","","","0.522","0.511","97.8","22.16","267","273","3.06","hek293-cho","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.25","18","","5/27/2026  13:47:20","Flex2admin",
"6/23/2026  11:48:27","00007M3","Default","","","","","","","","","","","","","","","","","","","","StandardCHO","1","1:2","","","Nova Test","Nova Test","","37.0","0.0","20.9","1:1","","","","","","","","","","","","6/23/2026  11:48:27","MAST",
