"Date & Time","Sample ID","Sample Type","Gln","Glu","Gluc","Lac","NH4+","Na+","K+","Ca++","pH","PO2","PCO2","Osm","Total Density","Viable Density","Viability","Avg. Live Diameter","Total Live Count","Total Cell Count","Live Cell Std. Deviation","Cell Inspection Type","Pre-Dilution Multiplier","Cell Density Dilution","Valid Images","Exposure Time (msec)","Vessel ID","Batch ID","Cell Type","Vessel Temperature (°C)","Vessel Pressure (psi)","Sparging O2%","Chemistry Dilution Ratio","pH @ Temp","PCO2 @ Temp","PO2 @ Temp","O2 Saturation","CO2 Saturation","HCO3","Chemistry Flow Time","pH / Gas Flow Time","Cell Density Flow","Tray Location","Time In Tray","Sample Time","Operator",
"","","","mmol / L","mmol / L","g / L","g / L","mmol / L","mmol / L","mmol / L","mmol / L","-","mmHg","mmHg","mOsm / kg","x10^6 Cells / mL","x10^6 Cells / mL","","","","","","","","","","","","","","","","","","-","mmHg","mmHg","","","","","","","","","","",
"5/1/2026  15:46:57","H01110-0501-1PC","all","1.78","2.74","2.91","1.40","2.25","111.9","11.44","0.10","6.996","144.9","34.4","296","3.095","3.076","99.4","21.17","1608","1618","2.68","HEK293","1","1:2","50","7.42","","","","37.0","0.0","20.9","1:1","6.996","34.4","144.9","98.7","4.9","8.5","8.12","4.72","5.25","14","","5/1/2026  15:46:57","Flex2admin",
"5/27/2026  9:20:29","00007M50","No Sample Types available","","","","","","","","","","","","","","","","","","","","","1","","","","c","c","","37.0","10.0","21.9","","","","","","","","","","","","","5/27/2026  9:20:29","MAST",
"5/27/2026  11:08:05","J038H05-4E6-FLEX2-1","all","","","","","","","","","","","","","1.645","1.548","94.1","20.58","809","860","3.00","HEK293","1","1:2","50","7.13","","","","37.0","0.0","20.9","","","","","","","","","","5.25","17","","5/27/2026  11:08:05","Flex2admin",
"5/27/2026  11:13:58","J038H05-4E6-FLEX2-2","all","","","","","","","","","","","","","1.969","1.861","94.6","20.83","973","1029","3.10","HEK293","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.30","18","","5/27/2026  11:13:58","Flex2admin",
"5/27/2026  11:19:56","J038H05-4E6-FLEX2-3","all","","","","","","","","","","","","","1.942","1.840","94.8","20.74","962","1015","3.26","HEK293","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.23","19","","5/27/2026  11:19:56","Flex2admin",
"5/27/2026  11:25:56","J038H05-2E6-FLEX2-1","all","","","","","","","","","","","","","1.752","1.645","93.9","20.84","860","916","3.22","HEK293","1","1:2","50","6.93","","","","37.0","0.0","20.9","","","","","","","","","","5.22","20","","5/27/2026  11:25:56","Flex2admin",
"5/27/2026  11:31:53","J038H05-2E6-FLEX2-2","all","","","","","","","","","","","","","1.756","1.645","93.7","20.67","860","918","2.96","HEK293","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.25","21","","5/27/2026  11:31:53","Flex2admin",
"5/27/2026  11:37:44","J038H05-2E6-FLEX2-3","all","","","","","","","","","","","","","1.706","1.586","92.9","20.55","829","892","3.12","HEK293","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.23","22","","5/27/2026  11:37:44","Flex2admin",
"5/27/2026  11:43:42","J038H05-1E6-FLEX2-1","all","","","","","","","","","","","","","0.930","0.851","91.6","20.79","445","486","3.03","HEK293","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.33","23","","5/27/2026  11:43:42","Flex2admin",
"5/27/2026  11:49:43","J038H05-1E6-FLEX2-2","all","","","","","","","","","","","","","0.872","0.821","94.1","20.54","429","456","2.85","HEK293","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.30","24","","5/27/2026  11:49:43","Flex2admin",
"5/27/2026  11:55:43","J038H05-1E6-FLEX2-3","all","","","","","","","","","","","","","0.895","0.826","92.3","20.84","432","468","2.87","HEK293","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.25","1","","5/27/2026  11:55:43","Flex2admin",
"5/27/2026  12:03:36","J038H05-5E5-FLEX2-1","all","","","","","","","","","","","","","0.455","0.394","86.6","20.36","206","238","2.68","HEK293","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.23","2","","5/27/2026  12:03:36","Flex2admin",
"5/27/2026  12:09:50","J038H05-5E5-FLEX2-2","all","","","","","","","","","","","","","0.450","0.402","89.4","20.48","210","235","2.98","HEK293","1","1:2","50","7.13","","","","37.0","0.0","20.9","","","","","","","","","","5.28","3","","5/27/2026  12:09:50","Flex2admin",
"5/27/2026  12:15:43","J038H05-5E5-FLEX2-3","all","","","","","","","","","","","","","0.478","0.451","94.4","20.35","236","250","2.99","HEK293","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.23","4","","5/27/2026  12:15:43","Flex2admin",
"5/27/2026  12:37:44","J038H06-4E6-FLEX2-1","all","","","","","","","","","","","","","4.063","4.056","99.8","21.87","2120","2124","2.86","HEK293","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.26","7","","5/27/2026  12:37:44","Flex2admin",
"5/27/2026  12:43:41","J038H06-4E6-FLEX2-2","all","","","","","","","","","","","","","4.249","4.187","98.5","21.86","2101","2132","2.61","HEK293","1","1:2","48","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.25","8","","5/27/2026  12:43:41","Flex2admin",
"5/27/2026  12:49:57","J038H06-4E6-FLEX2-3","all","","","","","","","","","","","","","4.223","4.187","99.2","21.75","2101","2119","2.68","HEK293","1","1:2","48","7.13","","","","37.0","0.0","20.9","","","","","","","","","","5.23","9","","5/27/2026  12:49:57","Flex2admin",
"5/27/2026  12:57:19","J038H06-2E6-FLEX2-1","all","","","","","","","","","","","","","1.987","1.983","99.8","22.05","1016","1018","3.06","HEK293","1","1:2","49","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.22","10","","5/27/2026  12:57:19","Flex2admin",
"5/27/2026  13:03:26","J038H06-2E6-FLEX2-2","all","","","","","","","","","","","","","2.016","2.007","99.5","22.06","1049","1054","3.12","HEK293","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.26","11","","5/27/2026  13:03:26","Flex2admin",
"5/27/2026  13:09:39","J038H06-2E6-FLEX2-3","all","","","","","","","","","","","","","1.991","1.984","99.6","22.05","1037","1041","2.68","HEK293","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.30","12","","5/27/2026  13:09:39","Flex2admin",
"5/27/2026  13:15:57","J038H06-1E6-FLEX2-1","all","","","","","","","","","","","","","0.897","0.895","99.8","21.81","468","469","2.82","HEK293","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.28","13","","5/27/2026  13:15:57","Flex2admin",
"5/27/2026  13:22:10","J038H06-1E6-FLEX2-2","all","","","","","","","","","","","","","1.085","1.077","99.3","21.85","563","567","3.34","HEK293","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.26","14","","5/27/2026  13:22:10","Flex2admin",
"5/27/2026  13:28:22","J038H06-1E6-FLEX2-3","all","","","","","","","","","","","","","0.874","0.872","99.8","21.66","456","457","2.95","HEK293","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.23","15","","5/27/2026  13:28:22","Flex2admin",
"5/27/2026  13:34:40","J038H06-5E5-FLEX2-1","all","","","","","","","","","","","","","0.574","0.574","100.0","21.51","300","300","2.44","HEK293","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.36","16","","5/27/2026  13:34:40","Flex2admin",
"5/27/2026  13:41:02","J038H06-5E5-FLEX2-2","all","","","","","","","","","","","","","0.645","0.645","100.0","21.52","337","337","2.31","HEK293","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.28","17","","5/27/2026  13:41:02","Flex2admin",
"5/27/2026  13:47:20","J038H06-5E5-FLEX2-3","all","","","","","","","","","","","","","0.486","0.482","99.2","21.84","252","254","2.82","HEK293","1","1:2","50","7.03","","","","37.0","0.0","20.9","","","","","","","","","","5.25","18","","5/27/2026  13:47:20","Flex2admin",
